status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
1687134288190856_1905430133070884,"If these allergy symptoms disrupt the day…day after day…get unsurpassed relief* in the allergy aisle with ClariSpray®.

*Use as directed.
May take several days of once daily use for full effect.",,video,https://www.facebook.com/ClariSpray/videos/1905430133070884/,2017-05-27 13:50:29,165,10,15,153,8,0,0,0,4,0
1687134288190856_1905020726445158,"From the makers of Claritin®, 24-hour ClariSpray® works directly in the nose to relieve nasal allergy symptoms. Get unsurpassed relief* in the allergy aisle with ClariSpray. SAVE $2 with this coupon.

Use as directed. 
Claritin® and ClariSpray® contain different ingredients. 
*May take several days of once daily use for full effect.",,video,https://www.facebook.com/ClariSpray/videos/1905020726445158/,2017-05-27 08:00:00,156,4,5,146,7,1,2,0,0,0
1687134288190856_1895840443986905,"ABC’s The View is taking their ‘Hot Topics’ segment outside. The segment is sponsored by ClariSpray®. 
Tune in at 11e| 10c|p on April 21st!",Timeline Photos,photo,https://www.facebook.com/ClariSpray/photos/a.1778549902382627.1073741828.1687134288190856/1895840443986905/?type=3,2017-04-20 15:23:42,527,49,40,473,39,1,9,1,4,0
1687134288190856_1778549872382630,"Return to the world with 24-hour nasal allergy  relief with ClariSpray™, a nasal allergy spray that relieves nasal symptoms from indoor, outdoor and pet allergies. Learn more at www.clarispray.com.  

ClariSpray™ contains fluticasone propionate, a different ingredient than Claritin®.",Timeline Photos,photo,https://www.facebook.com/ClariSpray/photos/a.1778549902382627.1073741828.1687134288190856/1778549872382630/?type=3,2016-08-17 13:35:16,5,4,5,5,0,0,0,0,0,0
1687134288190856_1758884441015840,,ClariSpray's cover photo,photo,https://www.facebook.com/ClariSpray/photos/a.1758884434349174.1073741827.1687134288190856/1758884271015857/?type=3,2016-06-29 08:52:06,5,1,0,5,0,0,0,0,0,0
1687134288190856_1758884254349192,,ClariSpray,photo,https://www.facebook.com/ClariSpray/photos/a.1758884231015861.1073741825.1687134288190856/1758884237682527/?type=3,2016-06-29 08:51:05,6,1,2,6,0,0,0,0,0,0
